code,family,genus,subgenus,species,diet_breadth,specialist_host,diet_breadth_citation,sociality,sociality_citation,overwintering_stage,overwintering_stage_citation
MEOSM002,Megachilidae,Osmia,Melanosmia,2,unknown,NA,KW,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMAEN,Megachilidae,Osmia,Melanosmia,aff_enixa,unknown,NA,KW,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMCER,Megachilidae,Osmia,Melanosmia,cerasi,polylectic,NA,KW,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMCOL,Megachilidae,Osmia,Helicosmia,coloradensis,oligolectic,Asteraceae,KW; Hurd et al. 1980,solitary,KW; TG,adult,Stemkovski et al. 2020
MEOSMCOR,Megachilidae,Osmia,Melanosmia,cordata,polylectic,NA,KW,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMGAU,Megachilidae,Osmia,Melanosmia,gaudiosa,oligolectic,NA,KW,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMINT,Megachilidae,Osmia,Melanosmia,integra,unknown,NA,KW,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMLAT,Megachilidae,Osmia,Trichinosmia,latisulcata,oligolectic,NA,KW,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMLIG,Megachilidae,Osmia,Osmia,lignaria,unknown,NA,NA,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMLIO,Megachilidae,Osmia,Melanosmia,liogastra,polylectic,NA,KW,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMPHE,Megachilidae,Osmia,Melanosmia,phenax,polylectic,NA,Hurd & Linsley 1975,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMPRU,Megachilidae,Osmia,Melanosmia,prunorum,polylectic,NA,KW,solitary,KW; TG,adult,Danforth et al. 2019
MEOSMTRE,Megachilidae,Osmia,Melanosmia,trevoris,unknown,NA,KW,solitary,KW; TG,adult,Stemkovski et al. 2020
MEOSMWAT,Megachilidae,Osmia,Melanosmia,watsoni,unknown,NA,KW; TG,solitary,KW; TG,adult,Danforth et al. 2019
MESTEIMP,Megachilidae,Stelis,Stelis,imperialis,parasitic,NA,KW,parasitic,KW; TG,prepupae,Danforth et al. 2019
MESTEPAL,Megachilidae,Stelis,Stelis,palmarum,parasitic,NA,KW,parasitic,KW; TG,prepupae,Danforth et al. 2019
MESTEROB,Megachilidae,Stelis,Stelis,robertsoni,parasitic,NA,KW,parasitic,KW; TG,prepupae,Danforth et al. 2019
METRALAR,Megachilidae,Trachusa,Heteranthidium,larreae,oligolectic,Larrea,KW; Minckley et al. 1999; Hurd & Linsley 1975,solitary,KW; TG,prepupae,Danforth et al. 2019
MLHESLAR,Melittidae,Hesperapis,Amblyapis,larreae,oligolectic,Larrea,KW; Minckley et al. 1999; Hurd & Linsley 1975,unknown,NA,prepupae,Danforth et al. 2019
MLHESTRO,Melittidae,Hesperapis,Hesperapis,trochanterata,unknown,NA,KW,unknown,NA,prepupae,Danforth et al. 2019
