year,month, PDO
1975,9,-0.779
1975,10,-0.987
1975,11,-1.242
1975,12,-1.188
1976,1,-0.841
1976,2,-0.794
1976,3,-0.942
1976,4,-1.027
1976,5,-0.795
1976,6,-1.028
1976,7,0.368
1976,8,1.023
1976,9,0.732
1976,10,1.235
1976,11,1.215
1976,12,0.97
1977,1,1.051
1977,2,1.349
1977,3,0.689
1977,4,0.075
1977,5,-0.105
1977,6,0.292
1977,7,0.382
1977,8,0.51
1977,9,-0.095
1977,10,-0.337
1977,11,0.014
1977,12,0.149
1978,1,0.71
1978,2,0.925
1978,3,1.307
1978,4,1.165
1978,5,1.027
1978,6,0.575
1978,7,-0.8
1978,8,-0.305
1978,9,-0.348
1978,10,0.331
1978,11,0.256
1978,12,-0.284
1979,1,0.002
1979,2,-0.765
1979,3,-0.224
1979,4,0.195
1979,5,0.84
1979,6,0.475
1979,7,0.627
1979,8,0.469
1979,9,1.127
1979,10,1.302
1979,11,0.805
1979,12,0.378
1980,1,0.36
1980,2,0.863
1980,3,0.797
1980,4,1.023
1980,5,1.036
1980,6,-0.39
1980,7,0.1
1980,8,0.184
1980,9,0.161
1980,10,1.265
1980,11,0.874
1980,12,0.476
1981,1,1.167
1981,2,1.32
1981,3,1.35
1981,4,1.228
1981,5,1.379
1981,6,1.708
1981,7,1.001
1981,8,0.54
1981,9,0.784
1981,10,0.171
1981,11,0.618
1981,12,0.61
1982,1,0.204
1982,2,0.077
1982,3,0.045
1982,4,-0.271
1982,5,-0.662
1982,6,-0.501
1982,7,0.576
1982,8,0.397
1982,9,0.883
1982,10,0.441
1982,11,-0.231
1982,12,0.161
1983,1,0.329
1983,2,0.944
1983,3,1.735
1983,4,1.445
1983,5,1.181
1983,6,1.756
1983,7,2.273
1983,8,1.302
1983,9,0.669
1983,10,0.702
1983,11,1.032
1983,12,1.389
1984,1,1.178
1984,2,1.046
1984,3,1.381
1984,4,1.001
1984,5,0.942
1984,6,0.074
1984,7,0.098
1984,8,0.505
1984,9,0.479
1984,10,0.7
1984,11,0.636
1984,12,0.476
1985,1,0.831
1985,2,0.587
1985,3,-0.038
1985,4,-0.182
1985,5,-0.271
1985,6,0.338
1985,7,0.84
1985,8,0.687
1985,9,0.565
1985,10,0.441
1985,11,-0.402
1985,12,0.401
1986,1,1.053
1986,2,1.57
1986,3,1.769
1986,4,1.261
1986,5,0.99
1986,6,0.835
1986,7,1.304
1986,8,0.475
1986,9,0.617
1986,10,1.266
1986,11,1.763
1986,12,1.519
1987,1,1.423
1987,2,1.59
1987,3,1.501
1987,4,1.572
1987,5,1.267
1987,6,0.548
1987,7,1.694
1987,8,1.917
1987,9,1.769
1987,10,1.1
1987,11,1.092
1987,12,0.861
1988,1,0.399
1988,2,0.643
1988,3,0.633
1988,4,0.475
1988,5,0.49
1988,6,0.307
1988,7,0.172
1988,8,-0.362
1988,9,-0.334
1988,10,-0.05
1988,11,0.056
1988,12,-0.136
1989,1,-0.989
1989,2,-1.094
1989,3,-0.87
1989,4,-0.122
1989,5,0.011
1989,6,0.071
1989,7,0.571
1989,8,-0.079
1989,9,-0.202
1989,10,-0.231
1989,11,-0.552
1989,12,0
1990,1,-0.254
1990,2,-0.837
1990,3,-0.707
1990,4,0.105
1990,5,-0.047
1990,6,-0.136
1990,7,-0.047
1990,8,0.004
1990,9,0.058
1990,10,-0.701
1990,11,-1.439
1990,12,-1.722
1991,1,-1.302
1991,2,-0.65
1991,3,-0.61
1991,4,-1.198
1991,5,-1.176
1991,6,-1.826
1991,7,-1.171
1991,8,-0.317
1991,9,0.613
1991,10,0.545
1991,11,0.598
1991,12,-0.042
1992,1,0.244
1992,2,0.27
1992,3,0.207
1992,4,0.615
1992,5,1.349
1992,6,1.239
1992,7,1.579
1992,8,1.113
1992,9,0.872
1992,10,1.377
1992,11,1.35
1992,12,0.474
1993,1,0.01
1993,2,0.312
1993,3,0.545
1993,4,1.123
1993,5,1.776
1993,6,1.928
1993,7,1.464
1993,8,1.962
1993,9,1.437
1993,10,1.478
1993,11,1.229
1993,12,0.752
1994,1,0.945
1994,2,0.556
1994,3,0.481
1994,4,0.717
1994,5,0.684
1994,6,0.152
1994,7,-0.472
1994,8,-0.426
1994,9,-0.886
1994,10,-0.591
1994,11,-1.428
1994,12,-1.852
1995,1,-0.578
1995,2,0.239
1995,3,0.71
1995,4,0.712
1995,5,1.153
1995,6,1.15
1995,7,1.262
1995,8,0.277
1995,9,1.342
1995,10,0.692
1995,11,0.182
1995,12,0.425
1996,1,0.947
1996,2,1.068
1996,3,1.013
1996,4,1.285
1996,5,1.898
1996,6,1.026
1996,7,0.577
1996,8,-0.212
1996,9,0.511
1996,10,0.717
1996,11,0.688
1996,12,0.22
1997,1,0.815
1997,2,0.592
1997,3,0.732
1997,4,0.961
1997,5,1.657
1997,6,2.382
1997,7,1.442
1997,8,2.123
1997,9,1.639
1997,10,1.587
1997,11,1.281
1997,12,0.867
1998,1,0.991
1998,2,1.482
1998,3,1.407
1998,4,0.31
1998,5,-0.355
1998,6,-0.519
1998,7,-0.681
1998,8,-0.171
1998,9,-0.867
1998,10,-1.576
1998,11,-0.612
1998,12,-0.874
1999,1,-0.543
1999,2,-0.756
1999,3,-0.867
1999,4,-1.452
1999,5,-1.864
1999,6,-1.91
1999,7,-1.321
1999,8,-1.189
1999,9,-1.379
1999,10,-1.849
1999,11,-1.754
1999,12,-1.64
2000,1,-1.784
2000,2,-0.969
2000,3,-0.475
2000,4,-0.392
2000,5,-0.568
2000,6,-0.521
2000,7,-0.903
2000,8,-1.102
2000,9,-0.811
2000,10,-1.082
2000,11,-0.804
2000,12,0.024
2001,1,0.519
2001,2,0.145
2001,3,-0.035
2001,4,-0.837
2001,5,-0.755
2001,6,-1.02
2001,7,-1.73
2001,8,-1.09
2001,9,-1.217
2001,10,-1.201
2001,11,-0.793
2001,12,-0.889
2002,1,-0.154
2002,2,-0.961
2002,3,-0.779
2002,4,-0.701
2002,5,-0.996
2002,6,-0.868
2002,7,-0.422
2002,8,0.285
2002,9,0.123
2002,10,0.3
2002,11,1.081
2002,12,1.473
2003,1,1.442
2003,2,1.262
2003,3,1.282
2003,4,0.529
2003,5,0.324
2003,6,-0.182
2003,7,0.493
2003,8,0.745
2003,9,0.049
2003,10,0.757
2003,11,-0.02
2003,12,-0.361
2004,1,-0.226
2004,2,0.032
2004,3,0.128
2004,4,0.095
2004,5,0.496
2004,6,-0.288
2004,7,0.032
2004,8,0.292
2004,9,0.108
2004,10,-0.52
2004,11,-0.946
2004,12,-0.531
2005,1,-0.068
2005,2,0.169
2005,3,0.795
2005,4,0.402
2005,5,1.147
2005,6,0.528
2005,7,0.014
2005,8,-0.198
2005,9,-0.712
2005,10,-1.566
2005,11,-1.544
2005,12,-0.059
2006,1,0.554
2006,2,0.507
2006,3,-0.351
2006,4,-0.358
2006,5,-0.284
2006,6,0.091
2006,7,0.377
2006,8,-0.466
2006,9,-0.997
2006,10,-0.169
2006,11,-0.442
2006,12,-0.296
2007,1,-0.468
2007,2,-0.382
2007,3,-0.734
2007,4,-0.24
2007,5,-0.116
2007,6,0.086
2007,7,0.547
2007,8,0.185
2007,9,-0.582
2007,10,-1.871
2007,11,-1.23
2007,12,-0.759
2008,1,-1.23
2008,2,-1.188
2008,3,-0.955
2008,4,-1.498
2008,5,-1.348
2008,6,-1.625
2008,7,-1.373
2008,8,-1.218
2008,9,-1.347
2008,10,-1.538
2008,11,-1.384
2008,12,-1.266
2009,1,-1.619
2009,2,-1.464
2009,3,-1.742
2009,4,-1.872
2009,5,-1.008
2009,6,-0.665
2009,7,-0.523
2009,8,-0.25
2009,9,0.454
2009,10,0.078
2009,11,-0.759
2009,12,-0.429
2010,1,0.134
2010,2,0.361
2010,3,0.036
2010,4,0.043
2010,5,-0.132
2010,6,-0.699
2010,7,-1.579
2010,8,-1.499
2010,9,-1.639
2010,10,-1.083
2010,11,-1.183
2010,12,-1.677
2011,1,-1.469
2011,2,-1.069
2011,3,-0.931
2011,4,-0.823
2011,5,-0.898
2011,6,-1.445
2011,7,-2.137
2011,8,-1.997
2011,9,-1.867
2011,10,-1.553
2011,11,-2.48
2011,12,-2.184
2012,1,-1.669
2012,2,-1.148
2012,3,-1.348
2012,4,-0.761
2012,5,-1.626
2012,6,-1.426
2012,7,-1.953
2012,8,-1.936
2012,9,-2.309
2012,10,-0.918
2012,11,-0.577
2012,12,-1.301
2013,1,-1
2013,2,-1.109
2013,3,-1.109
2013,4,-0.556
2013,5,-0.294
2013,6,-1.069
2013,7,-1.139
2013,8,-1.088
2013,9,-0.658
2013,10,-1.267
2013,11,-0.895
2013,12,-0.928
2014,1,-0.496
2014,2,-0.227
2014,3,0.464
2014,4,0.526
2014,5,1.153
2014,6,-0.324
2014,7,0.4
2014,8,0.361
2014,9,0.621
2014,10,1.202
2014,11,1.132
2014,12,1.567
2015,1,1.336
2015,2,1.426
2015,3,1.26
2015,4,0.83
2015,5,0.389
2015,6,0.657
2015,7,1.144
2015,8,0.889
2015,9,0.936
2015,10,0.72
2015,11,0.067
2015,12,0.01
2016,1,0.521
2016,2,1.113
2016,3,1.447
2016,4,1.619
2016,5,1.498
2016,6,0.676
2016,7,0.478
2016,8,-0.124
2016,9,-0.327
2016,10,-0.296
2016,11,0.66
2016,12,0.316
2017,1,-0.089
2017,2,0.108
2017,3,0.195
2017,4,0.492
2017,5,0.396
2017,6,0.142
2017,7,-0.434
2017,8,-0.334
2017,9,0.039
2017,10,-0.459
2017,11,-0.542
2017,12,-0.231
2018,1,0.177
2018,2,-0.191
2018,3,-0.547
2018,4,-0.509
2018,5,-0.299
2018,6,-0.712
2018,7,-0.069
2018,8,-0.122
2018,9,-0.137
2018,10,-0.428
2018,11,-0.529
2018,12,-0.23
2019,1,-0.304
2019,2,-0.509
2019,3,-0.214
2019,4,0.204
2019,5,0.438
2019,6,0.035
2019,7,0.551
2019,8,0.245
2019,9,0.172
2019,10,-0.704
2019,11,-0.352
2019,12,0.012
2020,1,-1.212
2020,2,-1.138
2020,3,-1.429
2020,4,-1.087
2020,5,-0.458
2020,6,-0.812
2020,7,-0.938
2020,8,-1.24
2020,9,-1.053
2020,10,-0.689
2020,11,-1.501
2020,12,-0.957
2021,1,-0.56
2021,2,-0.869
2021,3,-1.332
2021,4,-1.438
2021,5,-1.591
2021,6,-1.651
2021,7,-1.54
2021,8,-0.764
2021,9,-1.627
2021,10,-2.681
2021,11,-2.469
2021,12,-2.419
2022,1,-2.054
2022,2,-1.586
2022,3,-1.363
2022,4,-1.807
2022,5,-2.031
2022,6,-1.403
2022,7,-2.224
2022,8,-1.949
2022,9,-1.725
2022,10,-1.366
2022,11,-1.989
2022,12,-1.84
2023,1,-0.949
2023,2,-1.276
2023,3,-1.893
2023,4,-2.471
2023,5,-1.947
2023,6,-2.153
2023,7,-2.141
2023,8,-1.968
2023,9,-2.384
2023,10,-2.034
2023,11,-1.628
2023,12,-1.742
